index,concurrency,elapsed_seconds,rows,passing,quiescent_rss_bytes,rss_peak_bytes
0,1,0.259,1,1,61046784,61046784
1,8,11.487,8,8,76427264,366907392
2,32,23.775,32,32,100139008,1058639872
3,1,34.989,1,1,92987392,94621696
4,8,46.186,8,8,93487104,186273792
5,32,57.514,32,32,106901504,1121787904
6,1,68.726,1,1,96251904,108056576
7,8,79.959,8,8,101560320,592400384
8,32,91.279,32,32,110080000,1019400192
9,1,92.691,1,1,104898560,104898560
10,8,103.930,8,8,108023808,550481920
11,32,116.230,32,32,112943104,1287065600
12,1,117.538,1,1,107991040,107991040
13,8,128.764,8,8,111054848,670339072
14,32,140.088,32,32,115355648,961744896
15,1,151.333,1,1,110882816,130998272
16,8,162.573,8,8,111534080,526876672
17,32,173.912,32,32,112476160,1385865216
18,1,178.442,1,1,115941376,606588928
19,8,189.695,8,8,110952448,644882432
20,32,202.013,32,32,115613696,1265475584
21,1,203.335,1,1,109334528,116224000
22,8,214.617,8,8,112603136,632590336
23,32,227.034,32,32,112844800,1308798976
24,1,233.372,1,1,114716672,191823872
25,8,244.642,8,8,113983488,585863168
26,32,256.009,32,32,116547584,1258917888
27,1,257.275,1,1,111112192,117067776
28,8,268.567,8,8,110661632,600911872
29,32,279.921,32,32,121262080,1072447488
30,1,291.193,1,1,109793280,189104128
31,8,302.463,8,8,105865216,207966208
32,32,313.773,32,32,112300032,1148284928
33,1,325.026,1,1,102383616,113778688
34,8,336.278,8,8,105771008,644808704
35,32,347.654,32,32,110686208,1198133248
36,1,349.061,1,1,108892160,108892160
37,8,360.336,8,8,111464448,613412864
38,32,372.659,32,32,115417088,1383956480
39,1,374.009,1,1,109953024,109953024
40,8,385.285,8,8,118644736,665845760
41,32,396.655,32,32,116490240,1373085696
42,1,407.954,1,1,111804416,134475776
43,8,419.212,8,8,106901504,577904640
44,32,430.723,32,32,108113920,1259892736
45,1,435.316,1,1,114659328,669396992
46,8,446.566,8,8,109133824,592101376
47,32,457.948,32,32,112525312,1359675392
48,1,459.303,1,1,110395392,113938432
49,8,470.593,8,8,113414144,614273024
50,32,482.132,32,32,115453952,1364951040
51,1,488.510,1,1,113811456,195112960
52,8,499.804,8,8,113389568,590753792
53,32,511.152,32,32,117649408,1245110272
54,1,512.427,1,1,111734784,118489088
55,8,523.708,8,8,112058368,659116032
56,32,535.080,32,32,118304768,1200443392
57,1,546.384,1,1,110493696,119525376
58,8,557.715,8,8,107515904,214065152
59,32,570.042,32,32,112709632,1135648768
60,1,581.347,1,1,102981632,173957120
61,8,592.654,8,8,105996288,539025408
62,32,605.094,32,32,110686208,983920640
63,1,606.569,1,1,109105152,112209920
64,8,617.865,8,8,111501312,589524992
65,32,629.302,32,32,114814976,1362759680
66,1,630.681,1,1,109809664,109809664
67,8,642.011,8,8,113258496,706183168
68,32,654.418,32,32,113328128,1129295872
69,1,665.673,1,1,113012736,131575808
70,8,676.982,8,8,107405312,553013248
71,32,688.387,32,32,115142656,1425035264
72,1,693.115,1,1,117882880,625041408
73,8,704.408,8,8,112365568,717369344
74,32,715.860,32,32,115990528,1231556608
75,1,717.236,1,1,110587904,110587904
76,8,728.566,8,8,113872896,628154368
77,32,740.068,32,32,116731904,1289871360
78,1,746.489,1,1,115236864,197869568
79,8,757.781,8,8,114581504,699588608
80,32,769.155,32,32,118382592,1493053440
81,1,770.484,1,1,112754688,119894016
82,8,781.797,8,8,112766976,702443520
83,32,793.356,32,32,118161408,1174380544
84,1,804.667,1,1,110899200,112492544
85,8,815.981,8,8,106237952,210427904
86,32,827.516,32,32,114495488,1074536448
87,1,838.826,1,1,104017920,116875264
88,8,850.114,8,8,107175936,601542656
89,32,861.592,32,32,112943104,1154908160
90,1,863.036,1,1,108068864,108068864
91,8,874.320,8,8,110755840,624713728
92,32,885.886,32,32,116699136,1451110400
93,1,887.324,1,1,111308800,111308800
94,8,898.637,8,8,114466816,572792832
95,32,910.134,32,32,116850688,1154748416
96,1,921.427,1,1,112455680,142176256
97,8,932.726,8,8,107454464,574607360
98,32,944.226,32,32,114188288,1298333696
99,1,948.809,1,1,116641792,663724032
100,8,960.094,8,8,111255552,672698368
101,32,971.597,32,32,116142080,1471389696
102,1,972.971,1,1,110915584,110915584
103,8,984.274,8,8,114200576,656867328
104,32,995.918,32,32,115433472,1299759104
105,1,1002.345,1,1,113991680,183091200
106,8,1013.680,8,8,113553408,600244224
107,32,1025.398,32,32,116019200,1341493248
108,1,1026.770,1,1,110206976,110206976
109,8,1038.127,8,8,109297664,685162496
110,32,1049.534,32,32,118853632,1067864064
111,1,1060.912,1,1,111529984,113188864
112,8,1072.296,8,8,106897408,211128320
113,32,1083.810,32,32,108306432,1106448384
114,1,1095.141,1,1,103145472,111349760
115,8,1106.486,8,8,105857024,626802688
116,32,1119.061,32,32,110252032,1127235584
117,1,1120.614,1,1,108593152,150839296
118,8,1131.939,8,8,110813184,626774016
119,32,1143.468,32,32,115777536,1241280512
120,1,1144.909,1,1,110571520,110571520
121,8,1156.280,8,8,112988160,686284800
122,32,1167.934,32,32,113602560,1145581568
123,1,1179.254,1,1,111947776,133750784
124,8,1190.628,8,8,108105728,540282880
125,32,1202.317,32,32,121413632,1411694592
126,1,1206.808,1,1,118390784,683929600
127,8,1218.152,8,8,112787456,732323840
128,32,1229.661,32,32,117055488,1383964672
129,1,1231.103,1,1,111738880,111738880
130,8,1242.455,8,8,114765824,601563136
131,32,1254.065,32,32,117600256,1362976768
132,1,1260.524,1,1,115990528,184811520
133,8,1271.858,8,8,115347456,642990080
134,32,1283.556,32,32,117501952,1398386688
135,1,1284.953,1,1,111992832,111992832
136,8,1296.308,8,8,112451584,654401536
137,32,1308.812,32,32,118542336,1178406912
138,1,1320.152,1,1,111788032,113127424
139,8,1331.599,8,8,106778624,218353664
140,32,1343.305,32,32,112046080,1264345088
141,1,1354.667,1,1,103907328,115691520
142,8,1366.205,8,8,107950080,567693312
143,32,1377.845,32,32,109682688,1152663552
144,1,1379.374,1,1,107728896,107728896
145,8,1390.710,8,8,110567424,666611712
146,32,1402.474,32,32,114929664,1194029056
147,1,1403.899,1,1,109568000,117583872
148,8,1415.290,8,8,112836608,577519616
149,32,1427.971,32,32,113512448,1316495360
150,1,1439.332,1,1,113225728,132096000
151,8,1450.740,8,8,105381888,547516416
152,32,1462.837,32,32,116822016,1425203200
153,1,1467.631,1,1,120250368,654884864
154,8,1478.979,8,8,114814976,709656576
155,32,1490.735,32,32,118493184,1320386560
156,1,1492.209,1,1,113250304,113250304
157,8,1503.573,8,8,116060160,667291648
158,32,1515.468,32,32,118550528,1441431552
159,1,1522.000,1,1,117149696,195272704
160,8,1533.406,8,8,116076544,761479168
161,32,1545.140,32,32,117469184,1426620416
162,1,1546.517,1,1,114876416,114876416
163,8,1557.894,8,8,113455104,663232512
164,32,1569.729,32,32,116084736,1133330432
165,1,1581.087,1,1,113029120,114634752
166,8,1592.481,8,8,106782720,218112000
167,32,1604.423,32,32,110260224,1126711296
168,1,1615.835,1,1,104022016,114282496
169,8,1627.216,8,8,107446272,551829504
170,32,1639.706,32,32,111468544,1011220480
171,1,1641.250,1,1,106672128,106672128
