round,arm,seconds,exit,load1,load5,load15,result
1,A,17.088055106,0,44.24,41.17,37.37,test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 8 filtered out; finished in 17.08s
1,B,18.497294377,0,42.85,41.06,37.42,test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 8 filtered out; finished in 18.49s
2,B,16.123663820,0,45.24,41.72,37.69,test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 8 filtered out; finished in 16.12s
2,A,16.160486012,0,43.07,41.45,37.69,test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 8 filtered out; finished in 16.16s
3,A,16.812967565,0,43.45,41.64,37.81,test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 8 filtered out; finished in 16.81s
3,B,19.436955116,0,43.27,41.69,37.89,test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 8 filtered out; finished in 19.43s
4,B,16.335510750,0,42.91,41.71,37.98,test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 8 filtered out; finished in 16.33s
4,A,17.688186926,0,40.11,41.16,37.86,test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 8 filtered out; finished in 17.68s
5,A,18.801535973,0,40.49,41.18,37.94,test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 8 filtered out; finished in 18.79s
5,B,17.933343028,0,41.36,41.33,38.06,test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 8 filtered out; finished in 17.93s
6,B,17.377691514,0,41.16,41.29,38.10,test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 8 filtered out; finished in 17.37s
6,A,18.898907453,0,40.68,41.18,38.13,test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 8 filtered out; finished in 18.89s
7,A,18.193810948,0,38.36,40.63,38.01,test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 8 filtered out; finished in 18.19s
7,B,18.282723298,0,38.89,40.63,38.06,test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 8 filtered out; finished in 18.28s
8,B,17.694198811,0,38.00,40.33,38.01,test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 8 filtered out; finished in 17.69s
8,A,19.193649080,0,38.74,40.37,38.07,test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 8 filtered out; finished in 19.19s
9,A,16.603243141,0,39.09,40.35,38.11,test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 8 filtered out; finished in 16.60s
9,B,17.359809353,0,37.15,39.81,37.98,test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 8 filtered out; finished in 17.35s
10,B,19.751842292,0,38.49,39.98,38.06,test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 8 filtered out; finished in 19.75s
10,A,17.330039370,0,39.26,40.06,38.13,test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 8 filtered out; finished in 17.32s
11,A,16.166144691,0,39.79,40.13,38.19,test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 8 filtered out; finished in 16.16s
11,B,18.553361003,0,39.74,40.10,38.22,test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 8 filtered out; finished in 18.55s
12,B,14.988134965,0,37.66,39.64,38.10,test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 8 filtered out; finished in 14.98s
12,A,15.109737838,0,35.15,38.99,37.91,test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 8 filtered out; finished in 15.10s
