1	32ms	GRADE=WHOLE BEGAN=1 DONE=1 STAGED=1 STAGEDSKILL=0
2	31ms	GRADE=WHOLE BEGAN=1 DONE=1 STAGED=1 STAGEDSKILL=0
3	30ms	GRADE=WHOLE BEGAN=1 DONE=1 STAGED=1 STAGEDSKILL=0
4	29ms	GRADE=ABSENT BEGAN=1 DONE=0 STAGED=1 STAGEDSKILL=1
5	28ms	GRADE=ABSENT BEGAN=1 DONE=0 STAGED=1 STAGEDSKILL=1
6	27ms	GRADE=WHOLE BEGAN=1 DONE=0 STAGED=1 STAGEDSKILL=0
6	RETRY	ERRORED
7	26ms	GRADE=ABSENT BEGAN=1 DONE=0 STAGED=1 STAGEDSKILL=1
8	25ms	GRADE=WHOLE BEGAN=1 DONE=1 STAGED=1 STAGEDSKILL=0
9	24ms	GRADE=ABSENT BEGAN=1 DONE=0 STAGED=1 STAGEDSKILL=1
10	23ms	GRADE=ABSENT BEGAN=1 DONE=0 STAGED=1 STAGEDSKILL=1
11	22ms	GRADE=ABSENT BEGAN=1 DONE=0 STAGED=1 STAGEDSKILL=1
12	21ms	GRADE=ABSENT BEGAN=1 DONE=0 STAGED=1 STAGEDSKILL=1
13	20ms	GRADE=ABSENT BEGAN=1 DONE=0 STAGED=1 STAGEDSKILL=1
14	19ms	GRADE=ABSENT BEGAN=1 DONE=0 STAGED=1 STAGEDSKILL=1
15	18ms	GRADE=ABSENT BEGAN=1 DONE=0 STAGED=1 STAGEDSKILL=1
16	17ms	GRADE=ABSENT BEGAN=1 DONE=0 STAGED=1 STAGEDSKILL=1
17	16ms	GRADE=ABSENT BEGAN=1 DONE=0 STAGED=1 STAGEDSKILL=1
18	15ms	GRADE=ABSENT BEGAN=1 DONE=0 STAGED=1 STAGEDSKILL=1
19	14ms	GRADE=ABSENT BEGAN=1 DONE=0 STAGED=1 STAGEDSKILL=1
20	13ms	GRADE=ABSENT BEGAN=1 DONE=0 STAGED=1 STAGEDSKILL=1
21	12ms	GRADE=ABSENT BEGAN=1 DONE=0 STAGED=1 STAGEDSKILL=1
22	11ms	GRADE=ABSENT BEGAN=1 DONE=0 STAGED=1 STAGEDSKILL=1
23	10ms	GRADE=ABSENT BEGAN=1 DONE=0 STAGED=1 STAGEDSKILL=1
24	9ms	GRADE=ABSENT BEGAN=1 DONE=0 STAGED=1 STAGEDSKILL=1
25	8ms	GRADE=ABSENT BEGAN=1 DONE=0 STAGED=1 STAGEDSKILL=1
26	7ms	GRADE=ABSENT BEGAN=1 DONE=0 STAGED=1 STAGEDSKILL=1
27	6ms	GRADE=ABSENT BEGAN=1 DONE=0 STAGED=1 STAGEDSKILL=1
28	5ms	GRADE=ABSENT BEGAN=1 DONE=0 STAGED=1 STAGEDSKILL=1
29	4ms	GRADE=ABSENT BEGAN=1 DONE=0 STAGED=1 STAGEDSKILL=1
30	3ms	GRADE=ABSENT BEGAN=1 DONE=0 STAGED=1 STAGEDSKILL=1
31	2ms	GRADE=ABSENT BEGAN=1 DONE=0 STAGED=1 STAGEDSKILL=1
32	1ms	GRADE=ABSENT BEGAN=1 DONE=0 STAGED=1 STAGEDSKILL=1
33	0ms	GRADE=ABSENT BEGAN=1 DONE=0 STAGED=1 STAGEDSKILL=1
34	32ms	GRADE=WHOLE BEGAN=1 DONE=1 STAGED=1 STAGEDSKILL=0
35	31ms	GRADE=WHOLE BEGAN=1 DONE=1 STAGED=1 STAGEDSKILL=0
