# Phase 28 E5 certification matrix. GENERATED by wcore_eval_scenarios::e5_matrix — do not edit.
# Nine F28-01 dimensions x three OS families x the surfaces resolved from the candidate.
# Validated by: f28-ledger.py --check-matrix and --check-no-uncontrolled-skips
# max_surface_depth=1 cells=651
#cell_id	dimension	os	surface	criticality	applicability	skip_class	skip_evidence	activeness
sandbox-probes-linux-acp	sandbox-probes	linux	cmd:acp	critical	applicable	-	-	required
sandbox-probes-linux-agent	sandbox-probes	linux	cmd:agent	critical	applicable	-	-	required
sandbox-probes-linux-auth	sandbox-probes	linux	cmd:auth	critical	applicable	-	-	required
sandbox-probes-linux-backend	sandbox-probes	linux	cmd:backend	critical	applicable	-	-	required
sandbox-probes-linux-backup	sandbox-probes	linux	cmd:backup	critical	applicable	-	-	required
sandbox-probes-linux-cron	sandbox-probes	linux	cmd:cron	critical	applicable	-	-	required
sandbox-probes-linux-crucible	sandbox-probes	linux	cmd:crucible	critical	applicable	-	-	required
sandbox-probes-linux-fetch	sandbox-probes	linux	cmd:fetch	critical	applicable	-	-	required
sandbox-probes-linux-forge	sandbox-probes	linux	cmd:forge	critical	applicable	-	-	required
sandbox-probes-linux-gateway	sandbox-probes	linux	cmd:gateway	critical	applicable	-	-	required
sandbox-probes-linux-image	sandbox-probes	linux	cmd:image	critical	applicable	-	-	required
sandbox-probes-linux-init	sandbox-probes	linux	cmd:init	critical	applicable	-	-	required
sandbox-probes-linux-mcp-serve	sandbox-probes	linux	cmd:mcp-serve	critical	applicable	-	-	required
sandbox-probes-linux-migrate	sandbox-probes	linux	cmd:migrate	critical	applicable	-	-	required
sandbox-probes-linux-models	sandbox-probes	linux	cmd:models	critical	applicable	-	-	required
sandbox-probes-linux-node	sandbox-probes	linux	cmd:node	critical	applicable	-	-	required
sandbox-probes-linux-plugin	sandbox-probes	linux	cmd:plugin	critical	applicable	-	-	required
sandbox-probes-linux-profile	sandbox-probes	linux	cmd:profile	critical	applicable	-	-	required
sandbox-probes-linux-project-context	sandbox-probes	linux	cmd:project-context	critical	applicable	-	-	required
sandbox-probes-linux-self-update	sandbox-probes	linux	cmd:self-update	critical	applicable	-	-	required
sandbox-probes-linux-session	sandbox-probes	linux	cmd:session	critical	applicable	-	-	required
sandbox-probes-linux-setup	sandbox-probes	linux	cmd:setup	critical	applicable	-	-	required
sandbox-probes-linux-swarm	sandbox-probes	linux	cmd:swarm	critical	applicable	-	-	required
sandbox-probes-linux-workflow	sandbox-probes	linux	cmd:workflow	critical	applicable	-	-	required
sandbox-probes-macos-acp	sandbox-probes	macos	cmd:acp	critical	applicable	-	-	required
sandbox-probes-macos-agent	sandbox-probes	macos	cmd:agent	critical	applicable	-	-	required
sandbox-probes-macos-auth	sandbox-probes	macos	cmd:auth	critical	applicable	-	-	required
sandbox-probes-macos-backend	sandbox-probes	macos	cmd:backend	critical	applicable	-	-	required
sandbox-probes-macos-backup	sandbox-probes	macos	cmd:backup	critical	applicable	-	-	required
sandbox-probes-macos-cron	sandbox-probes	macos	cmd:cron	critical	applicable	-	-	required
sandbox-probes-macos-crucible	sandbox-probes	macos	cmd:crucible	critical	applicable	-	-	required
sandbox-probes-macos-fetch	sandbox-probes	macos	cmd:fetch	critical	applicable	-	-	required
sandbox-probes-macos-forge	sandbox-probes	macos	cmd:forge	critical	applicable	-	-	required
sandbox-probes-macos-gateway	sandbox-probes	macos	cmd:gateway	critical	applicable	-	-	required
sandbox-probes-macos-image	sandbox-probes	macos	cmd:image	critical	applicable	-	-	required
sandbox-probes-macos-init	sandbox-probes	macos	cmd:init	critical	applicable	-	-	required
sandbox-probes-macos-mcp-serve	sandbox-probes	macos	cmd:mcp-serve	critical	applicable	-	-	required
sandbox-probes-macos-migrate	sandbox-probes	macos	cmd:migrate	critical	applicable	-	-	required
sandbox-probes-macos-models	sandbox-probes	macos	cmd:models	critical	applicable	-	-	required
sandbox-probes-macos-node	sandbox-probes	macos	cmd:node	critical	applicable	-	-	required
sandbox-probes-macos-plugin	sandbox-probes	macos	cmd:plugin	critical	applicable	-	-	required
sandbox-probes-macos-profile	sandbox-probes	macos	cmd:profile	critical	applicable	-	-	required
sandbox-probes-macos-project-context	sandbox-probes	macos	cmd:project-context	critical	applicable	-	-	required
sandbox-probes-macos-self-update	sandbox-probes	macos	cmd:self-update	critical	applicable	-	-	required
sandbox-probes-macos-session	sandbox-probes	macos	cmd:session	critical	applicable	-	-	required
sandbox-probes-macos-setup	sandbox-probes	macos	cmd:setup	critical	applicable	-	-	required
sandbox-probes-macos-swarm	sandbox-probes	macos	cmd:swarm	critical	applicable	-	-	required
sandbox-probes-macos-workflow	sandbox-probes	macos	cmd:workflow	critical	applicable	-	-	required
sandbox-probes-windows-acp	sandbox-probes	windows	cmd:acp	critical	applicable	-	-	required
sandbox-probes-windows-agent	sandbox-probes	windows	cmd:agent	critical	applicable	-	-	required
sandbox-probes-windows-auth	sandbox-probes	windows	cmd:auth	critical	applicable	-	-	required
sandbox-probes-windows-backend	sandbox-probes	windows	cmd:backend	critical	applicable	-	-	required
sandbox-probes-windows-backup	sandbox-probes	windows	cmd:backup	critical	applicable	-	-	required
sandbox-probes-windows-cron	sandbox-probes	windows	cmd:cron	critical	applicable	-	-	required
