SURF-001::BINARY_ONLY::path=acp::family=GATEWAY-*
SURF-002::BINARY_ONLY::path=acp request::family=GATEWAY-*
SURF-003::BINARY_ONLY::path=acp request create-session::family=GATEWAY-*
SURF-004::BINARY_ONLY::path=acp request delete-session::family=GATEWAY-*
SURF-005::BINARY_ONLY::path=acp request get-session::family=GATEWAY-*
SURF-006::BINARY_ONLY::path=acp request list-sessions::family=GATEWAY-*
SURF-007::BINARY_ONLY::path=acp request send::family=GATEWAY-*
SURF-008::BINARY_ONLY::path=acp serve::family=GATEWAY-*
SURF-009::BINARY_ONLY::path=agent::family=CONT-*
SURF-010::BINARY_ONLY::path=agent create::family=CONT-*
SURF-011::BINARY_ONLY::path=agent delete::family=CONT-*
SURF-012::BINARY_ONLY::path=agent edit::family=CONT-*
SURF-013::BINARY_ONLY::path=agent list::family=CONT-*
SURF-014::BINARY_ONLY::path=agent show::family=CONT-*
SURF-015::BINARY_AND_DOCS::path=auth::family=AUTH-*
SURF-016::BINARY_AND_DOCS::path=auth add::family=AUTH-*
SURF-017::BINARY_AND_DOCS::path=auth list::family=AUTH-*
SURF-018::BINARY_AND_DOCS::path=auth login::family=AUTH-*
SURF-019::BINARY_AND_DOCS::path=auth logout::family=AUTH-*
SURF-020::BINARY_AND_DOCS::path=auth remove::family=AUTH-*
SURF-021::BINARY_AND_DOCS::path=auth status::family=AUTH-*
SURF-022::BINARY_ONLY::path=backend::family=REACH-*
SURF-023::BINARY_ONLY::path=backend cancel::family=REACH-*
SURF-024::BINARY_ONLY::path=backend diff::family=REACH-*
SURF-025::BINARY_ONLY::path=backend list::family=REACH-*
SURF-026::BINARY_ONLY::path=backend orphans::family=REACH-*
SURF-027::BINARY_ONLY::path=backend probe::family=REACH-*
SURF-028::BINARY_ONLY::path=backend receipt::family=REACH-*
SURF-029::BINARY_ONLY::path=backend receipt verify::family=REACH-*
SURF-030::BINARY_ONLY::path=backend run::family=REACH-*
SURF-031::BINARY_ONLY::path=backend scan::family=REACH-*
SURF-032::BINARY_ONLY::path=backup::family=PORT-*
SURF-033::BINARY_ONLY::path=backup create::family=PORT-*
SURF-034::BINARY_ONLY::path=backup digest::family=PORT-*
SURF-035::BINARY_ONLY::path=backup recover::family=PORT-*
SURF-036::BINARY_ONLY::path=backup restore::family=PORT-*
SURF-037::BINARY_ONLY::path=backup verify::family=PORT-*
SURF-038::BINARY_ONLY::path=channel::family=GATEWAY-*
SURF-039::BINARY_ONLY::path=channel health::family=GATEWAY-*
SURF-040::BINARY_ONLY::path=channel list::family=GATEWAY-*
SURF-041::BINARY_ONLY::path=channel probe::family=GATEWAY-*
SURF-042::BINARY_ONLY::path=channel reload::family=GATEWAY-*
SURF-043::BINARY_AND_DOCS::path=cron::family=GOAL-*
SURF-044::BINARY_AND_DOCS::path=cron add::family=GOAL-*
SURF-045::BINARY_AND_DOCS::path=cron daemon::family=GOAL-*
SURF-046::BINARY_AND_DOCS::path=cron disable::family=GOAL-*
SURF-047::BINARY_AND_DOCS::path=cron enable::family=GOAL-*
SURF-048::BINARY_AND_DOCS::path=cron history::family=GOAL-*
SURF-049::BINARY_AND_DOCS::path=cron list::family=GOAL-*
SURF-050::BINARY_AND_DOCS::path=cron logs::family=GOAL-*
SURF-051::BINARY_AND_DOCS::path=cron publish::family=GOAL-*
SURF-052::BINARY_AND_DOCS::path=cron remove::family=GOAL-*
SURF-053::BINARY_AND_DOCS::path=cron status::family=GOAL-*
SURF-054::BINARY_ONLY::path=crucible::family=TXN-*
SURF-055::BINARY_ONLY::path=fetch::family=MEDIA-*
SURF-056::BINARY_AND_DOCS::path=forge::family=TXN-*
SURF-057::BINARY_ONLY::path=gateway::family=GATEWAY-*
SURF-058::BINARY_ONLY::path=gateway drain::family=GATEWAY-*
SURF-059::BINARY_ONLY::path=gateway install::family=GATEWAY-*
